canonical_id,sample_filename,airnet_psnr,bicubic_psnr,psnr_difference,airnet_ssim,bicubic_ssim,ssim_difference,hf_retention_ratio,airnet_gradient_energy,gt_gradient_energy,airnet_laplacian_energy,gt_laplacian_energy,detail_loss_classification,airnet_mae_residual
184,001863.npy,5.5168,22.1845,-16.6677,0.0202,0.2992,-0.279,0.254719,0.00088491,0.10208648,0.00796609,0.01654183,Severe Detail Loss,0.490354
185,001881.npy,4.1762,21.4165,-17.2403,0.0081,0.5492,-0.541,0.262931,0.00086566,0.30313936,0.01017513,0.01302288,Severe Detail Loss,0.59258
186,001884.npy,1.3623,19.4431,-18.0808,0.0189,0.1063,-0.0873,0.514826,0.0009507,0.19425774,0.0189066,0.01245357,Severe Detail Loss,0.852516
187,001895.npy,6.0778,22.2807,-16.2029,0.0181,0.4666,-0.4485,0.094766,0.00094113,0.29591966,0.00689871,0.03654561,Severe Detail Loss,0.451406
188,001899.npy,5.3917,20.89,-15.4983,0.0112,0.2343,-0.223,0.141674,0.00088517,0.12694421,0.00822618,0.03928914,Severe Detail Loss,0.506789
189,001919.npy,9.353,24.6217,-15.2687,0.0172,0.7354,-0.7182,0.065173,0.00111813,0.29595765,0.00355473,0.02084254,Severe Detail Loss,0.29073
190,001923.npy,3.8667,21.4922,-17.6255,0.0147,0.5686,-0.5539,0.133927,0.00090592,0.35817674,0.01074798,0.03215293,Severe Detail Loss,0.569107
191,001930.npy,8.5586,22.3037,-13.7451,0.0077,0.6251,-0.6173,0.069122,0.00108978,0.29913512,0.0043079,0.02645049,Severe Detail Loss,0.345151
192,001955.npy,18.6012,31.7727,-13.1715,0.159,0.9087,-0.7496,0.086332,0.00077362,0.06909818,0.00125087,0.00538696,Severe Detail Loss,0.070325
193,001959.npy,6.4011,23.8886,-17.4875,0.0181,0.3701,-0.352,0.196227,0.00095517,0.10362765,0.00651712,0.01874617,Severe Detail Loss,0.425994
